hotel_name,locality,rating,score,review,link
"Pride Plaza Hotel, Aerocity New Delhi","Aerocity, New Delhi (Aerocity)",Very good,8.1,"4,204 reviews",https://www.booking.comhttps://www.booking.com/hotel/in/pride-plaza-aerocity-new-delhi.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=385d96e67a090571&srepoch=1753478861&from=searchresults
The Leela Ambience Convention Hotel Delhi,New Delhi,Fabulous,8.7,"2,025 reviews",https://www.booking.comhttps://www.booking.com/hotel/in/the-leela-ambience-convention-hotel-delhi.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=385d96e67a090571&srepoch=1753478861&from=searchresults
"ITC Maurya, a Luxury Collection Hotel, New Delhi","Chanakyapuri, New Delhi",Very good,8.3,"1,001 reviews",https://www.booking.comhttps://www.booking.com/hotel/in/itc-maurya-new-delhi.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=385d96e67a090571&srepoch=1753478861&from_sustainable_property_sr=1&from=searchresults
Hyatt Regency Delhi,New Delhi,Very good,8.3,"1,357 reviews",https://www.booking.comhttps://www.booking.com/hotel/in/hyatt-regency-delhi.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=385d96e67a090571&srepoch=1753478861&from_sustainable_property_sr=1&from=searchresults
"Taj Mahal, New Delhi",New Delhi,Superb,9.3,"1,375 reviews",https://www.booking.comhttps://www.booking.com/hotel/in/the-taj-mahal-new-delhi.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=385d96e67a090571&srepoch=1753478861&from_sustainable_property_sr=1&from=searchresults
ibis New Delhi Aerocity - An Accor Brand,"Aerocity, New Delhi (Aerocity)",Good,7.0,"8,397 reviews",https://www.booking.comhttps://www.booking.com/hotel/in/ibis-delhi-airport.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=385d96e67a090571&srepoch=1753478861&from_sustainable_property_sr=1&from=searchresults
Hyatt Centric Janakpuri New Delhi,"Janakpuri, New Delhi",Review score,6.7,"1,361 reviews",https://www.booking.comhttps://www.booking.com/hotel/in/hilton-new-delhi-janakpuri.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=385d96e67a090571&srepoch=1753478861&from=searchresults
Novotel New Delhi Aerocity,"Aerocity, New Delhi (Aerocity)",Good,7.9,"3,934 reviews",https://www.booking.comhttps://www.booking.com/hotel/in/novotel-new-delhi-aerocity.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=385d96e67a090571&srepoch=1753478861&from_sustainable_property_sr=1&from=searchresults
"Taj Palace, New Delhi","Chanakyapuri, New Delhi",Fabulous,8.7,"2,716 reviews",https://www.booking.comhttps://www.booking.com/hotel/in/taj-palace-new-delhi.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=385d96e67a090571&srepoch=1753478861&from_sustainable_property_sr=1&from=searchresults
Holiday Inn New Delhi Aerocity by IHG,"Aerocity, New Delhi (Aerocity)",Superb,9.2,"7,584 reviews",https://www.booking.comhttps://www.booking.com/hotel/in/holiday-inn-new-delhi-international-airport.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=385d96e67a090571&srepoch=1753478861&from=searchresults
Crowne Plaza New Delhi Mayur Vihar Noida by IHG,"Mayur Vihar Phase 1, New Delhi",Very good,8.4,"1,337 reviews",https://www.booking.comhttps://www.booking.com/hotel/in/hilton-new-delhi-mayur-vihar.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=385d96e67a090571&srepoch=1753478861&from=searchresults
"Andaz Delhi, by Hyatt","Aerocity, New Delhi (Aerocity)",Fabulous,8.7,"1,734 reviews",https://www.booking.comhttps://www.booking.com/hotel/in/andaz-delhi.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=385d96e67a090571&srepoch=1753478861&from=searchresults
"The Ashok, New Delhi","Chanakyapuri, New Delhi",Review score,5.9,"2,026 reviews",https://www.booking.comhttps://www.booking.com/hotel/in/the-ashok.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=385d96e67a090571&srepoch=1753478861&from_sustainable_property_sr=1&from=searchresults
Shangri-La Eros New Delhi,"Connaught Place, New Delhi",Very good,8.5,"2,023 reviews",https://www.booking.comhttps://www.booking.com/hotel/in/shangri-la-new-delhi.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=385d96e67a090571&srepoch=1753478861&from=searchresults
Le Meridien New Delhi,New Delhi,Very good,8.2,"1,339 reviews",https://www.booking.comhttps://www.booking.com/hotel/in/le-ma-c-ridien-new-delhi.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=385d96e67a090571&srepoch=1753478861&from=searchresults
The LaLiT New Delhi,New Delhi,Good,7.8,"2,971 reviews",https://www.booking.comhttps://www.booking.com/hotel/in/the-lalit-new-delhi.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=385d96e67a090571&srepoch=1753478861&from=searchresults
Aloft New Delhi Aerocity,"Aerocity, New Delhi (Aerocity)",Very good,8.4,"3,709 reviews",https://www.booking.comhttps://www.booking.com/hotel/in/aloft-new-delhi-aerocity.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=385d96e67a090571&srepoch=1753478861&from=searchresults
The Lodhi â€“ A member of The Leading Hotels Of The World,New Delhi,Fabulous,8.8,450 reviews,https://www.booking.comhttps://www.booking.com/hotel/in/the-lodhi.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=385d96e67a090571&srepoch=1753478861&from=searchresults
The Leela Palace New Delhi,New Delhi,Exceptional,9.5,"1,798 reviews",https://www.booking.comhttps://www.booking.com/hotel/in/the-leela-palace-new-delhi.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=385d96e67a090571&srepoch=1753478861&from_sustainable_property_sr=1&from=searchresults
The Grand Orion - Kailash Colony,"Kailash Colony, New Delhi",Good,7.9,199 reviews,https://www.booking.comhttps://www.booking.com/hotel/in/mapple-express.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=385d96e67a090571&srepoch=1753478861&from=searchresults
"Ginger Delhi, Chanakyapuri","Chanakyapuri, New Delhi",Good,7.8,65 reviews,https://www.booking.comhttps://www.booking.com/hotel/in/ginger-delhi-chanakyapuri.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=385d96e67a090571&srepoch=1753478861&from=searchresults
The Pearl Plaza Hotel in City Centre - Near New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)",Very good,8.5,246 reviews,https://www.booking.comhttps://www.booking.com/hotel/in/pearl-plaza-boutique.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=385d96e67a090571&srepoch=1753478861&from=searchresults
The Prime Delhi - An Award Winning Hotel 2025 Traveller's Choice,"Paharganj, New Delhi (Chandni Chowk)",Very good,8.0,"3,817 reviews",https://www.booking.comhttps://www.booking.com/hotel/in/the-prime-delhi.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=385d96e67a090571&srepoch=1753478861&from=searchresults
Saltstayz Select - Malcha & Chankyapuri,"Chanakyapuri, New Delhi",Review score,6.6,187 reviews,https://www.booking.comhttps://www.booking.com/hotel/in/saltstayz-malcha-chanakyapuri-new-delhi.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=385d96e67a090571&srepoch=1753478861&from=searchresults
"Welcomhotel by ITC Hotels, Dwarka, New Delhi","Dwarka, New Delhi",Good,7.9,"2,971 reviews",https://www.booking.comhttps://www.booking.com/hotel/in/welcomhotel-dwarka-new-delhi.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-01&checkout=2025-04-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=385d96e67a090571&srepoch=1753478861&from=searchresults
